asin,title,brand,current_price,list_price,rating,review_count,category,fetch_time,data_source,previous_price,price_drop_pct,deal_type
B09B8X9ZGH,Echo Dot (5th Gen),Amazon,49.99,54.99,4.7,124000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),62.225719428756484,19.7,Coupon
B08N5WRWNW,Fire TV Stick 4K Max,Amazon,54.99,64.99,4.7,196000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0BXZY32WB,Fire TV Stick HD,Amazon,29.99,39.99,4.6,89000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0CX23V2ZK,Echo Pop,Amazon,19.99,39.99,4.6,67000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0C6JW4BHX,Apple AirTag 4-Pack,Apple,78.99,99.0,4.8,152000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),94.10540846595539,16.1,Best Deal
B0D7L2G9X8,Apple AirPods 4,Apple,129.0,129.0,4.6,45000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0D7L2G9X9,Apple AirPods 4 with ANC,Apple,179.0,179.0,4.7,32000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0CHX1W1XY,Apple AirPods Pro 2,Apple,189.99,249.0,4.7,284000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),223.05335505217025,14.8,Best Deal
B0BDJ3V78R,Apple AirPods 3rd Gen,Apple,129.99,169.0,4.7,89000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0D7Q7GDKP,Apple Watch SE (2nd Gen),Apple,189.0,249.0,4.7,67000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),247.8627573369656,23.7,Best Deal
B0DHTYW7P8,Apple Watch Series 10,Apple,329.0,399.0,4.8,23000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0DKLHHMZ5,iPhone 16,Apple,799.0,799.0,4.6,18000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),1076.736651255318,25.8,Coupon
B0DKM6PBC7,iPhone 16 Pro,Apple,999.0,999.0,4.7,15000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0DHTL5W3D,iPad (10th Gen),Apple,349.0,449.0,4.8,34000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0D7L2G9X7,iPad Air 11-inch (M2),Apple,599.0,599.0,4.7,12000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0CWV3J9RV,Samsung Galaxy S24,Samsung,699.99,799.99,4.5,34000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),940.9926135763,25.6,Lightning Deal
B0CWSQ2XYX,Samsung Galaxy S24 Ultra,Samsung,1099.99,1299.99,4.6,28000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0CMDWC436,Samsung Galaxy Tab S9,Samsung,649.99,799.99,4.6,12000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0CVM4T437,Samsung Galaxy Buds3 Pro,Samsung,229.99,229.99,4.4,8000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0CVQ2MH8H,Sony WH-1000XM5,Sony,299.99,399.99,4.5,45000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),366.19273818363797,18.1,Lightning Deal
B0CY7F85NQ,Sony WF-1000XM5,Sony,249.99,299.99,4.4,28000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0CX5JV4DH,Bose QuietComfort Ultra,Bose,299.0,429.0,4.4,21000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),397.72806124949426,24.8,Coupon
B0B4PSQHD5,Bose QuietComfort 45,Bose,249.0,329.0,4.5,56000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0BQJ6CYNJ,Anker 737 Power Bank 24K,Anker,109.99,149.99,4.6,18000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),137.36037348552279,19.9,Coupon
B0B7RVNYGP,Anker 735 Charger (Nano II 65W),Anker,39.99,59.99,4.7,34000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B09V3KXJPB,Ninja DZ401 Foodi 10 Qt,Ninja,199.99,249.99,4.7,42000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B0CZPML9KY,Ninja Creami Deluxe,Ninja,249.99,299.99,4.6,15000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),301.5884747018089,17.1,Coupon
B0C6L2QBC8,Ring Battery Doorbell Pro,Ring,159.99,229.99,4.5,12000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),,,
B08N5M7S6K,Ring Video Doorbell 4,Ring,99.99,199.99,4.6,89000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),116.2226793729857,14.0,Coupon
B0C7RK7Z9D,Philips Hue Bridge + Bulbs Starter,Philips,199.99,249.99,4.5,21000,Electronics,2026-05-17T17:14:40.458144+00:00,seed (real product catalog - replace with Keepa API),263.8479206233342,24.2,Lightning Deal
