geoName,geoCode,keyword,interest,geo_scope,fetched_at
Alabama,US-AL,AI,38,US,2026-05-17T16:58:14.114334
Alaska,US-AK,AI,43,US,2026-05-17T16:58:14.114334
Arizona,US-AZ,AI,43,US,2026-05-17T16:58:14.114334
Arkansas,US-AR,AI,40,US,2026-05-17T16:58:14.114334
California,US-CA,AI,58,US,2026-05-17T16:58:14.114334
Colorado,US-CO,AI,45,US,2026-05-17T16:58:14.114334
Connecticut,US-CT,AI,39,US,2026-05-17T16:58:14.114334
Delaware,US-DE,AI,44,US,2026-05-17T16:58:14.114334
District of Columbia,US-DC,AI,66,US,2026-05-17T16:58:14.114334
Florida,US-FL,AI,44,US,2026-05-17T16:58:14.114334
Georgia,US-GA,AI,47,US,2026-05-17T16:58:14.114334
Hawaii,US-HI,AI,45,US,2026-05-17T16:58:14.114334
Idaho,US-ID,AI,42,US,2026-05-17T16:58:14.114334
Illinois,US-IL,AI,43,US,2026-05-17T16:58:14.114334
Indiana,US-IN,AI,40,US,2026-05-17T16:58:14.114334
Iowa,US-IA,AI,39,US,2026-05-17T16:58:14.114334
Kansas,US-KS,AI,55,US,2026-05-17T16:58:14.114334
Kentucky,US-KY,AI,37,US,2026-05-17T16:58:14.114334
Louisiana,US-LA,AI,40,US,2026-05-17T16:58:14.114334
Maine,US-ME,AI,35,US,2026-05-17T16:58:14.114334
Maryland,US-MD,AI,47,US,2026-05-17T16:58:14.114334
Massachusetts,US-MA,AI,55,US,2026-05-17T16:58:14.114334
Michigan,US-MI,AI,41,US,2026-05-17T16:58:14.114334
Minnesota,US-MN,AI,39,US,2026-05-17T16:58:14.114334
Mississippi,US-MS,AI,35,US,2026-05-17T16:58:14.114334
Missouri,US-MO,AI,43,US,2026-05-17T16:58:14.114334
Montana,US-MT,AI,35,US,2026-05-17T16:58:14.114334
Nebraska,US-NE,AI,37,US,2026-05-17T16:58:14.114334
Nevada,US-NV,AI,45,US,2026-05-17T16:58:14.114334
New Hampshire,US-NH,AI,39,US,2026-05-17T16:58:14.114334
New Jersey,US-NJ,AI,50,US,2026-05-17T16:58:14.114334
New Mexico,US-NM,AI,40,US,2026-05-17T16:58:14.114334
New York,US-NY,AI,63,US,2026-05-17T16:58:14.114334
North Carolina,US-NC,AI,43,US,2026-05-17T16:58:14.114334
North Dakota,US-ND,AI,31,US,2026-05-17T16:58:14.114334
Ohio,US-OH,AI,39,US,2026-05-17T16:58:14.114334
Oklahoma,US-OK,AI,40,US,2026-05-17T16:58:14.114334
Oregon,US-OR,AI,40,US,2026-05-17T16:58:14.114334
Pennsylvania,US-PA,AI,44,US,2026-05-17T16:58:14.114334
Rhode Island,US-RI,AI,42,US,2026-05-17T16:58:14.114334
South Carolina,US-SC,AI,38,US,2026-05-17T16:58:14.114334
South Dakota,US-SD,AI,35,US,2026-05-17T16:58:14.114334
Tennessee,US-TN,AI,37,US,2026-05-17T16:58:14.114334
Texas,US-TX,AI,49,US,2026-05-17T16:58:14.114334
Utah,US-UT,AI,53,US,2026-05-17T16:58:14.114334
Vermont,US-VT,AI,40,US,2026-05-17T16:58:14.114334
Virginia,US-VA,AI,51,US,2026-05-17T16:58:14.114334
Washington,US-WA,AI,55,US,2026-05-17T16:58:14.114334
West Virginia,US-WV,AI,36,US,2026-05-17T16:58:14.114334
Wisconsin,US-WI,AI,37,US,2026-05-17T16:58:14.114334
Wyoming,US-WY,AI,100,US,2026-05-17T16:58:14.114334
Alabama,US-AL,machine learning,12,US,2026-05-17T16:58:16.588832
Alaska,US-AK,machine learning,9,US,2026-05-17T16:58:16.588832
Arizona,US-AZ,machine learning,17,US,2026-05-17T16:58:16.588832
Arkansas,US-AR,machine learning,11,US,2026-05-17T16:58:16.588832
California,US-CA,machine learning,34,US,2026-05-17T16:58:16.588832
Colorado,US-CO,machine learning,20,US,2026-05-17T16:58:16.588832
Connecticut,US-CT,machine learning,19,US,2026-05-17T16:58:16.588832
Delaware,US-DE,machine learning,14,US,2026-05-17T16:58:16.588832
District of Columbia,US-DC,machine learning,45,US,2026-05-17T16:58:16.588832
Florida,US-FL,machine learning,15,US,2026-05-17T16:58:16.588832
Georgia,US-GA,machine learning,19,US,2026-05-17T16:58:16.588832
Hawaii,US-HI,machine learning,11,US,2026-05-17T16:58:16.588832
Idaho,US-ID,machine learning,10,US,2026-05-17T16:58:16.588832
Illinois,US-IL,machine learning,21,US,2026-05-17T16:58:16.588832
Indiana,US-IN,machine learning,15,US,2026-05-17T16:58:16.588832
Iowa,US-IA,machine learning,13,US,2026-05-17T16:58:16.588832
Kansas,US-KS,machine learning,25,US,2026-05-17T16:58:16.588832
Kentucky,US-KY,machine learning,10,US,2026-05-17T16:58:16.588832
Louisiana,US-LA,machine learning,13,US,2026-05-17T16:58:16.588832
Maine,US-ME,machine learning,8,US,2026-05-17T16:58:16.588832
Maryland,US-MD,machine learning,27,US,2026-05-17T16:58:16.588832
Massachusetts,US-MA,machine learning,37,US,2026-05-17T16:58:16.588832
Michigan,US-MI,machine learning,15,US,2026-05-17T16:58:16.588832
Minnesota,US-MN,machine learning,14,US,2026-05-17T16:58:16.588832
Mississippi,US-MS,machine learning,11,US,2026-05-17T16:58:16.588832
Missouri,US-MO,machine learning,13,US,2026-05-17T16:58:16.588832
Montana,US-MT,machine learning,8,US,2026-05-17T16:58:16.588832
Nebraska,US-NE,machine learning,10,US,2026-05-17T16:58:16.588832
Nevada,US-NV,machine learning,12,US,2026-05-17T16:58:16.588832
New Hampshire,US-NH,machine learning,14,US,2026-05-17T16:58:16.588832
New Jersey,US-NJ,machine learning,25,US,2026-05-17T16:58:16.588832
New Mexico,US-NM,machine learning,16,US,2026-05-17T16:58:16.588832
New York,US-NY,machine learning,36,US,2026-05-17T16:58:16.588832
North Carolina,US-NC,machine learning,16,US,2026-05-17T16:58:16.588832
North Dakota,US-ND,machine learning,10,US,2026-05-17T16:58:16.588832
Ohio,US-OH,machine learning,13,US,2026-05-17T16:58:16.588832
Oklahoma,US-OK,machine learning,11,US,2026-05-17T16:58:16.588832
Oregon,US-OR,machine learning,16,US,2026-05-17T16:58:16.588832
Pennsylvania,US-PA,machine learning,20,US,2026-05-17T16:58:16.588832
Rhode Island,US-RI,machine learning,19,US,2026-05-17T16:58:16.588832
South Carolina,US-SC,machine learning,11,US,2026-05-17T16:58:16.588832
South Dakota,US-SD,machine learning,9,US,2026-05-17T16:58:16.588832
Tennessee,US-TN,machine learning,13,US,2026-05-17T16:58:16.588832
Texas,US-TX,machine learning,19,US,2026-05-17T16:58:16.588832
Utah,US-UT,machine learning,17,US,2026-05-17T16:58:16.588832
Vermont,US-VT,machine learning,11,US,2026-05-17T16:58:16.588832
Virginia,US-VA,machine learning,28,US,2026-05-17T16:58:16.588832
Washington,US-WA,machine learning,28,US,2026-05-17T16:58:16.588832
West Virginia,US-WV,machine learning,8,US,2026-05-17T16:58:16.588832
Wisconsin,US-WI,machine learning,13,US,2026-05-17T16:58:16.588832
Wyoming,US-WY,machine learning,100,US,2026-05-17T16:58:16.588832
Alabama,US-AL,ChatGPT,58,US,2026-05-17T16:58:18.468496
Alaska,US-AK,ChatGPT,53,US,2026-05-17T16:58:18.468496
Arizona,US-AZ,ChatGPT,78,US,2026-05-17T16:58:18.468496
Arkansas,US-AR,ChatGPT,61,US,2026-05-17T16:58:18.468496
California,US-CA,ChatGPT,94,US,2026-05-17T16:58:18.468496
Colorado,US-CO,ChatGPT,67,US,2026-05-17T16:58:18.468496
Connecticut,US-CT,ChatGPT,74,US,2026-05-17T16:58:18.468496
Delaware,US-DE,ChatGPT,72,US,2026-05-17T16:58:18.468496
District of Columbia,US-DC,ChatGPT,100,US,2026-05-17T16:58:18.468496
Florida,US-FL,ChatGPT,71,US,2026-05-17T16:58:18.468496
Georgia,US-GA,ChatGPT,83,US,2026-05-17T16:58:18.468496
Hawaii,US-HI,ChatGPT,70,US,2026-05-17T16:58:18.468496
Idaho,US-ID,ChatGPT,65,US,2026-05-17T16:58:18.468496
Illinois,US-IL,ChatGPT,67,US,2026-05-17T16:58:18.468496
Indiana,US-IN,ChatGPT,57,US,2026-05-17T16:58:18.468496
Iowa,US-IA,ChatGPT,55,US,2026-05-17T16:58:18.468496
Kansas,US-KS,ChatGPT,69,US,2026-05-17T16:58:18.468496
Kentucky,US-KY,ChatGPT,51,US,2026-05-17T16:58:18.468496
Louisiana,US-LA,ChatGPT,55,US,2026-05-17T16:58:18.468496
Maine,US-ME,ChatGPT,47,US,2026-05-17T16:58:18.468496
Maryland,US-MD,ChatGPT,76,US,2026-05-17T16:58:18.468496
Massachusetts,US-MA,ChatGPT,75,US,2026-05-17T16:58:18.468496
Michigan,US-MI,ChatGPT,65,US,2026-05-17T16:58:18.468496
Minnesota,US-MN,ChatGPT,63,US,2026-05-17T16:58:18.468496
Mississippi,US-MS,ChatGPT,57,US,2026-05-17T16:58:18.468496
Missouri,US-MO,ChatGPT,52,US,2026-05-17T16:58:18.468496
Montana,US-MT,ChatGPT,48,US,2026-05-17T16:58:18.468496
Nebraska,US-NE,ChatGPT,59,US,2026-05-17T16:58:18.468496
Nevada,US-NV,ChatGPT,68,US,2026-05-17T16:58:18.468496
New Hampshire,US-NH,ChatGPT,57,US,2026-05-17T16:58:18.468496
New Jersey,US-NJ,ChatGPT,89,US,2026-05-17T16:58:18.468496
New Mexico,US-NM,ChatGPT,57,US,2026-05-17T16:58:18.468496
