date,AI,machine learning,ChatGPT,Bitcoin,Tesla,Netflix,Amazon,telehealth,mental health,fitness,inflation,recession,stock market,crypto
2021-05-16,2,0,0,29,14,17,70,0,2,9,6,1,15,49
2021-05-23,3,0,0,20,13,17,73,0,2,10,6,1,15,31
2021-05-30,3,0,0,14,11,18,74,0,2,11,5,1,14,22
2021-06-06,4,0,0,15,12,17,71,0,2,9,6,1,12,20
2021-06-13,3,0,0,12,11,16,71,0,2,10,7,1,14,18
2021-06-20,2,0,0,14,12,17,89,0,2,10,5,1,13,19
2021-06-27,2,0,0,10,12,18,69,0,2,10,4,1,12,13
2021-07-04,2,0,0,8,11,19,73,0,2,11,4,1,14,12
2021-07-11,2,0,0,9,11,17,72,0,2,10,7,1,12,12
2021-07-18,2,0,0,10,11,16,69,0,2,9,5,1,16,11
2021-07-25,2,0,0,12,12,16,68,0,2,8,4,1,12,12
2021-08-01,2,0,0,9,11,17,69,0,2,9,4,1,11,13
2021-08-08,2,0,0,10,10,17,70,0,2,8,5,1,10,16
2021-08-15,3,0,0,9,12,17,70,0,2,8,4,1,12,17
2021-08-22,3,0,0,9,12,18,73,0,2,8,4,1,11,17
2021-08-29,2,0,0,8,10,17,67,0,2,8,4,1,10,16
2021-09-05,3,0,0,11,10,16,70,0,2,9,4,1,11,21
2021-09-12,2,0,0,8,10,16,68,0,2,8,5,1,11,16
2021-09-19,3,0,0,10,10,17,70,0,2,8,5,1,18,17
2021-09-26,2,0,0,8,11,19,68,0,2,8,5,1,15,14
2021-10-03,3,1,0,10,11,21,72,0,2,8,5,1,15,20
2021-10-10,3,1,0,11,12,21,73,0,3,8,7,1,14,18
2021-10-17,3,1,0,16,12,19,75,0,2,8,6,1,12,21
2021-10-24,3,1,0,13,17,19,74,0,2,8,7,1,13,41
2021-10-31,3,0,0,10,16,18,73,0,2,8,6,1,13,43
2021-11-07,3,1,0,12,15,18,77,0,2,8,12,1,16,39
2021-11-14,3,1,0,11,14,17,77,0,2,8,9,1,13,37
2021-11-21,3,0,0,10,12,20,86,0,2,10,6,1,17,34
2021-11-28,3,1,0,11,13,18,91,0,2,8,7,1,20,33
2021-12-05,3,0,0,12,12,17,99,0,2,8,9,1,15,27
2021-12-12,3,0,0,10,12,17,95,0,2,8,9,1,14,25
2021-12-19,3,0,0,10,13,19,88,0,1,9,6,1,18,23
2021-12-26,3,0,0,9,13,23,82,0,1,11,5,1,18,25
2022-01-02,3,0,0,11,14,22,83,0,2,11,6,1,14,30
2022-01-09,3,1,0,11,12,22,77,0,2,10,10,1,13,25
2022-01-16,3,0,0,12,11,22,71,0,2,9,7,1,20,28
2022-01-23,3,1,0,15,13,19,72,0,2,9,9,2,26,26
2022-01-30,3,1,0,10,12,20,75,0,2,10,7,1,16,22
2022-02-06,3,1,0,10,13,19,75,0,3,9,12,1,14,24
2022-02-13,3,1,0,9,12,20,69,0,3,9,11,1,16,24
2022-02-20,3,1,0,11,12,19,73,0,3,10,9,2,31,20
2022-02-27,3,1,0,10,13,18,70,0,3,9,9,2,22,19
