date,AI,machine learning,ChatGPT,Bitcoin,Tesla,Netflix,Amazon,telehealth,mental health,fitness,inflation,recession,stock market,crypto
2021-05-16,5,0,0,24,6,33,76,0,2,7,10,1,18,93
2021-05-23,5,0,0,17,5,32,78,0,2,7,9,1,17,64
2021-05-30,5,0,0,13,5,31,78,0,1,8,8,1,18,49
2021-06-06,5,0,0,13,5,30,74,0,1,7,10,1,16,41
2021-06-13,5,0,0,10,5,30,72,0,1,7,10,1,18,35
2021-06-20,4,0,0,12,5,33,86,0,1,7,8,1,16,38
2021-06-27,4,0,0,9,5,32,73,0,1,7,7,1,15,29
2021-07-04,4,0,0,7,5,31,71,0,1,8,7,1,16,26
2021-07-11,5,0,0,7,5,31,73,0,2,8,9,1,15,26
2021-07-18,5,0,0,8,5,31,75,0,2,7,8,1,20,27
2021-07-25,4,0,0,9,6,31,75,0,2,7,7,1,16,30
2021-08-01,4,0,0,8,5,30,73,0,1,7,7,1,14,31
2021-08-08,5,0,0,9,5,31,72,0,1,7,8,1,14,38
2021-08-15,4,0,0,8,5,31,74,0,1,7,7,1,16,40
2021-08-22,4,0,0,8,5,32,74,0,1,7,7,1,15,42
2021-08-29,5,0,0,7,5,32,74,0,1,7,7,1,14,40
2021-09-05,5,0,0,9,5,30,75,0,2,7,8,1,14,48
2021-09-12,5,0,0,7,5,30,73,0,2,7,9,1,14,39
2021-09-19,5,0,0,8,5,33,74,0,2,7,8,1,21,39
2021-09-26,4,0,0,7,5,32,73,0,2,7,9,1,17,32
2021-10-03,5,0,0,8,5,35,78,0,2,7,9,1,18,43
2021-10-10,5,0,0,9,5,35,74,0,2,7,11,1,17,42
2021-10-17,5,0,0,12,6,33,74,0,2,7,13,1,16,47
2021-10-24,5,0,0,9,8,32,77,0,2,7,13,1,15,72
2021-10-31,5,0,0,7,8,32,77,0,2,7,10,1,16,87
2021-11-07,5,0,0,9,8,31,81,0,2,7,15,1,18,80
2021-11-14,5,0,0,9,7,31,84,0,2,7,15,1,16,79
2021-11-21,5,0,0,9,6,31,100,0,1,7,12,1,20,78
2021-11-28,5,0,0,9,6,31,92,0,2,7,13,1,21,76
2021-12-05,5,0,0,10,6,31,94,0,2,6,15,1,18,60
2021-12-12,5,0,0,8,6,31,93,0,2,6,17,1,17,59
2021-12-19,5,0,0,8,6,34,85,0,1,7,11,1,21,53
2021-12-26,5,0,0,8,6,41,83,0,1,8,10,1,21,62
2022-01-02,6,0,0,11,7,46,87,0,2,9,14,1,18,73
2022-01-09,5,0,0,10,6,41,78,0,2,7,17,1,18,69
2022-01-16,5,0,0,10,5,38,80,0,2,7,15,1,23,66
2022-01-23,5,1,0,13,7,37,75,0,2,7,17,2,29,65
2022-01-30,5,0,0,10,6,39,80,0,2,8,15,1,20,60
2022-02-06,5,1,0,10,6,35,76,0,2,7,18,2,18,58
2022-02-13,6,1,0,8,6,34,74,0,2,7,17,2,20,55
2022-02-20,5,1,0,10,5,32,71,0,2,7,15,2,36,47
2022-02-27,6,1,0,9,5,33,72,0,2,7,16,2,29,45
2022-03-06,6,1,0,8,7,31,72,0,2,7,21,4,24,43
2022-03-13,6,1,0,7,6,30,71,0,2,7,18,3,20,41
2022-03-20,5,1,0,7,7,31,71,0,2,7,17,3,18,42
2022-03-27,6,1,0,7,7,29,73,0,2,7,18,4,17,51
2022-04-03,6,1,0,6,6,29,74,0,2,7,17,5,16,43
2022-04-10,5,1,0,6,6,32,72,0,2,7,21,5,19,40
2022-04-17,5,1,0,5,6,35,70,0,2,7,17,4,18,38
2022-04-24,6,1,0,6,8,32,73,0,2,7,19,6,21,38
2022-05-01,6,1,0,6,6,31,76,0,2,7,19,6,23,38
2022-05-08,5,1,0,14,6,28,70,0,2,7,23,7,30,77
2022-05-15,5,1,0,9,6,29,68,0,2,7,19,8,23,44
2022-05-22,5,1,0,8,6,32,71,0,2,7,16,7,18,36
2022-05-29,5,1,0,6,6,30,67,0,2,7,16,5,16,29
2022-06-05,6,1,0,6,6,30,71,0,2,7,23,9,17,29
2022-06-12,6,1,0,17,6,32,71,0,2,7,26,19,28,42
2022-06-19,6,1,0,12,6,32,74,0,2,7,19,12,21,31
2022-06-26,6,1,0,9,5,33,74,0,2,7,18,8,17,28
2022-07-03,5,1,0,8,5,32,75,0,1,7,18,9,14,26
2022-07-10,6,1,0,7,5,34,94,0,2,7,23,8,15,26
2022-07-17,5,1,0,8,6,35,79,0,2,7,17,6,15,28
2022-07-24,5,1,0,6,5,32,78,0,1,6,18,19,15,26
2022-07-31,6,1,0,6,5,33,77,0,1,7,18,10,15,26
2022-08-07,6,0,0,5,6,32,79,0,2,7,27,5,16,26
2022-08-14,6,1,0,6,5,34,76,0,1,6,22,5,16,28
2022-08-21,6,1,0,5,6,32,74,0,2,7,18,5,15,26
2022-08-28,6,1,0,5,5,30,78,0,2,7,17,4,15,26
2022-09-04,6,1,0,5,5,29,71,0,2,7,17,4,14,24
2022-09-11,6,1,0,5,5,29,72,0,2,7,25,5,20,27
2022-09-18,6,1,0,6,5,31,79,0,2,7,19,6,19,24
2022-09-25,7,1,0,5,5,34,80,0,2,7,19,7,20,22
2022-10-02,7,1,0,5,5,33,79,0,2,6,19,6,19,23
2022-10-09,7,1,0,4,5,32,85,0,3,6,22,8,19,23
2022-10-16,7,1,0,4,5,32,76,0,2,6,20,8,16,21
2022-10-23,7,1,0,4,5,32,77,0,2,6,19,6,18,22
2022-10-30,7,1,0,5,4,33,75,0,2,7,20,6,17,23
2022-11-06,7,1,0,8,5,29,79,0,2,6,21,7,20,37
2022-11-13,7,1,0,8,5,31,88,0,2,6,19,8,15,37
2022-11-20,7,1,0,6,4,30,93,0,2,6,14,7,14,26
2022-11-27,8,1,0,5,4,33,86,0,2,6,16,6,15,23
2022-12-04,12,1,4,5,5,33,89,0,2,6,16,5,14,22
2022-12-11,11,1,5,5,5,33,91,0,2,6,16,5,15,23
2022-12-18,10,1,3,4,6,34,82,0,1,6,13,4,15,20
2022-12-25,8,0,3,4,6,40,84,0,1,8,11,3,17,20
2023-01-01,8,1,4,5,7,39,81,0,2,9,14,5,16,20
2023-01-08,10,1,6,5,7,34,77,0,2,8,18,5,14,24
2023-01-15,10,1,8,6,6,33,76,0,2,8,15,5,16,25
2023-01-22,11,1,9,5,7,32,76,0,2,8,15,5,15,23
2023-01-29,12,1,11,5,6,33,76,0,2,8,16,5,17,24
2023-02-05,13,1,14,5,6,32,72,0,2,7,16,4,15,24
2023-02-12,12,1,14,5,6,32,71,0,2,7,17,3,15,22
2023-02-19,12,1,15,5,6,36,73,0,2,7,15,3,16,23
2023-02-26,12,1,13,4,7,29,71,0,2,7,15,3,13,21
2023-03-05,12,1,14,5,6,30,71,0,2,7,15,4,18,23
2023-03-12,13,1,15,6,5,29,68,0,2,7,16,4,20,24
2023-03-19,14,1,17,7,5,27,71,0,2,7,15,4,17,24
2023-03-26,15,1,18,6,5,28,73,0,2,7,14,4,14,22
2023-04-02,16,1,17,5,6,29,69,0,2,7,13,3,17,21
2023-04-09,16,1,19,6,5,31,71,0,2,7,16,4,14,22
2023-04-16,20,1,18,5,6,30,69,0,2,6,14,4,13,22
2023-04-23,21,1,19,5,5,29,75,0,2,6,14,4,13,20
2023-04-30,24,1,18,5,5,29,71,0,2,7,14,5,15,20
2023-05-07,23,1,18,5,5,27,69,0,2,6,15,4,13,21
2023-05-14,23,1,19,4,5,27,66,0,2,6,13,3,12,19
2023-05-21,22,1,18,4,5,32,70,0,2,7,13,5,13,18
2023-05-28,22,1,17,4,5,31,69,0,2,7,12,3,13,18
2023-06-04,22,1,17,5,6,31,71,0,2,7,12,4,13,22
2023-06-11,23,1,17,4,6,30,73,0,2,6,14,4,13,19
2023-06-18,22,1,17,5,6,31,72,0,2,6,12,3,15,19
2023-06-25,22,1,15,5,6,32,73,0,2,7,12,3,13,19
2023-07-02,22,1,14,5,6,30,78,0,1,7,11,2,14,18
2023-07-09,22,1,15,5,6,31,95,0,2,7,15,3,13,21
2023-07-16,25,1,13,5,7,30,74,0,1,7,12,2,14,20
2023-07-23,20,1,13,4,6,31,72,0,2,6,12,2,14,20
