query,value,keyword,type,fetched_at
perplexity ai,59350,AI,rising,2026-05-15T19:58:26.416612
perplexity,55350,AI,rising,2026-05-15T19:58:26.416612
ai humanizer,52200,AI,rising,2026-05-15T19:58:26.416612
humanizer,47450,AI,rising,2026-05-15T19:58:26.416612
janitor ai,40850,AI,rising,2026-05-15T19:58:26.416612
google gemini ai,39200,AI,rising,2026-05-15T19:58:26.416612
midjourney,36650,AI,rising,2026-05-15T19:58:26.416612
google gemini,35850,AI,rising,2026-05-15T19:58:26.416612
midjourney ai,35250,AI,rising,2026-05-15T19:58:26.416612
humanize ai,30450,AI,rising,2026-05-15T19:58:26.416612
gemini ai,28850,AI,rising,2026-05-15T19:58:26.416612
gemini,26750,AI,rising,2026-05-15T19:58:26.416612
grok,25200,AI,rising,2026-05-15T19:58:26.416612
grok ai,23100,AI,rising,2026-05-15T19:58:26.416612
perchance ai,22350,AI,rising,2026-05-15T19:58:26.416612
deepseek ai,21350,AI,rising,2026-05-15T19:58:26.416612
deepseek,21050,AI,rising,2026-05-15T19:58:26.416612
ai image generator free,19550,AI,rising,2026-05-15T19:58:26.416612
claude,19350,AI,rising,2026-05-15T19:58:26.416612
claude ai,18850,AI,rising,2026-05-15T19:58:26.416612
ai detector free,17150,AI,rising,2026-05-15T19:58:26.416612
suno ai,16450,AI,rising,2026-05-15T19:58:26.416612
ai detector,15950,AI,rising,2026-05-15T19:58:26.416612
spicy chat ai,15550,AI,rising,2026-05-15T19:58:26.416612
polybuzz ai,14950,AI,rising,2026-05-15T19:58:26.416612
llm machine learning,38300,machine learning,rising,2026-05-15T19:58:30.726374
llm,26100,machine learning,rising,2026-05-15T19:58:30.726374
best laptop 2024,7350,machine learning,rising,2026-05-15T19:58:30.726374
healthy recipes,5800,machine learning,rising,2026-05-15T19:58:30.726374
cook pasta,5600,machine learning,rising,2026-05-15T19:58:30.726374
smartphones 2024,5500,machine learning,rising,2026-05-15T19:58:30.726374
lidl near me,5450,machine learning,rising,2026-05-15T19:58:30.726374
machine learning astro bot,4450,machine learning,rising,2026-05-15T19:58:30.726374
travel europe,3200,machine learning,rising,2026-05-15T19:58:30.726374
best headphones,2650,machine learning,rising,2026-05-15T19:58:30.726374
latest news,2500,machine learning,rising,2026-05-15T19:58:30.726374
yoga beginners,2150,machine learning,rising,2026-05-15T19:58:30.726374
running shoes,1850,machine learning,rising,2026-05-15T19:58:30.726374
home insurance,1800,machine learning,rising,2026-05-15T19:58:30.726374
restaurant near me,1550,machine learning,rising,2026-05-15T19:58:30.726374
online banking,1050,machine learning,rising,2026-05-15T19:58:30.726374
what is ai,700,machine learning,rising,2026-05-15T19:58:30.726374
what is machine learning used for,650,machine learning,rising,2026-05-15T19:58:30.726374
is machine learning ai,500,machine learning,rising,2026-05-15T19:58:30.726374
machine learning system design,400,machine learning,rising,2026-05-15T19:58:30.726374
ai and machine learning,350,machine learning,rising,2026-05-15T19:58:30.726374
masters in ai and machine learning,350,machine learning,rising,2026-05-15T19:58:30.726374
physics informed machine learning,300,machine learning,rising,2026-05-15T19:58:30.726374
digital marketing,300,machine learning,rising,2026-05-15T19:58:30.726374
machine learning vs ai,200,machine learning,rising,2026-05-15T19:58:30.726374
what is chatgpt,370050,ChatGPT,rising,2026-05-15T19:58:35.207314
ai,351600,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt ai,335550,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt login,300450,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt free,244750,ChatGPT,rising,2026-05-15T19:58:35.207314
chat,201850,ChatGPT,rising,2026-05-15T19:58:35.207314
openai chatgpt,121850,ChatGPT,rising,2026-05-15T19:58:35.207314
openai,113450,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt app,110700,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt plus,62700,ChatGPT,rising,2026-05-15T19:58:35.207314
gemini,60750,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt online,57850,ChatGPT,rising,2026-05-15T19:58:35.207314
how to use chatgpt,56750,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt down,42850,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt stock,40900,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt api,40250,ChatGPT,rising,2026-05-15T19:58:35.207314
claude,38950,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt download,36750,ChatGPT,rising,2026-05-15T19:58:35.207314
is chatgpt free,35500,ChatGPT,rising,2026-05-15T19:58:35.207314
chatgpt detector,31550,ChatGPT,rising,2026-05-15T19:58:35.207314
meta stock,13600,Bitcoin,rising,2026-05-15T19:58:38.367868
how to buy bitcoin on etoro,12400,Bitcoin,rising,2026-05-15T19:58:38.367868
solana price,11750,Bitcoin,rising,2026-05-15T19:58:38.367868
shiba inu price,6800,Bitcoin,rising,2026-05-15T19:58:38.367868
shiba inu coin price,5700,Bitcoin,rising,2026-05-15T19:58:38.367868
shiba inu coin,4650,Bitcoin,rising,2026-05-15T19:58:38.367868
rivian stock,3500,Bitcoin,rising,2026-05-15T19:58:38.367868
sofi stock,2500,Bitcoin,rising,2026-05-15T19:58:38.367868
mstr,2150,Bitcoin,rising,2026-05-15T19:58:38.367868
bitstop bitcoin atm,2150,Bitcoin,rising,2026-05-15T19:58:38.367868
mstr stock,1850,Bitcoin,rising,2026-05-15T19:58:38.367868
microstrategy stock,1200,Bitcoin,rising,2026-05-15T19:58:38.367868
silver price today,1150,Bitcoin,rising,2026-05-15T19:58:38.367868
