genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1167.3938,49600,2026-08-28T18:15:47.689690
12,Adventure,1167.3938,28138,2026-08-28T18:15:48.018440
16,Animation,255.6312,71403,2026-08-28T18:15:48.342171
35,Comedy,255.6312,174686,2026-08-28T18:15:48.665100
80,Crime,341.2864,42523,2026-08-28T18:15:48.988260
99,Documentary,85.3467,227550,2026-08-28T18:15:49.311925
18,Drama,296.7827,297710,2026-08-28T18:15:49.633120
10751,Family,255.6312,33187,2026-08-28T18:15:49.959721
14,Fantasy,601.7705,30380,2026-08-28T18:15:50.282985
36,History,47.9431,22386,2026-08-28T18:15:50.605300
27,Horror,254.4207,73070,2026-08-28T18:15:50.928010
10402,Music,70.8251,54504,2026-08-28T18:15:51.248606
9648,Mystery,160.359,27137,2026-08-28T18:15:51.576533
10749,Romance,296.7827,64322,2026-08-28T18:15:51.899316
878,Science Fiction,1167.3938,26994,2026-08-28T18:15:52.222266
10770,TV Movie,84.7721,32905,2026-08-28T18:15:52.544002
53,Thriller,501.6471,62110,2026-08-28T18:15:52.901126
10752,War,89.5007,13059,2026-08-28T18:15:53.222854
37,Western,31.8737,10218,2026-08-28T18:15:53.544761
