genre_id,genre_name,fetched_at
28,Action,2026-05-21T19:20:57.289632
12,Adventure,2026-05-21T19:20:57.289706
16,Animation,2026-05-21T19:20:57.289719
35,Comedy,2026-05-21T19:20:57.289728
80,Crime,2026-05-21T19:20:57.289754
99,Documentary,2026-05-21T19:20:57.289763
18,Drama,2026-05-21T19:20:57.290789
10751,Family,2026-05-21T19:20:57.290795
14,Fantasy,2026-05-21T19:20:57.290800
36,History,2026-05-21T19:20:57.290808
27,Horror,2026-05-21T19:20:57.290813
10402,Music,2026-05-21T19:20:57.290820
9648,Mystery,2026-05-21T19:20:57.290825
10749,Romance,2026-05-21T19:20:57.290831
878,Science Fiction,2026-05-21T19:20:57.290836
10770,TV Movie,2026-05-21T19:20:57.290842
53,Thriller,2026-05-21T19:20:57.290847
10752,War,2026-05-21T19:20:57.290853
37,Western,2026-05-21T19:20:57.290859
