genre_id,genre_name,fetched_at
28,Action,2026-05-17T16:57:38.228090
12,Adventure,2026-05-17T16:57:38.228303
16,Animation,2026-05-17T16:57:38.228315
35,Comedy,2026-05-17T16:57:38.228319
80,Crime,2026-05-17T16:57:38.228324
99,Documentary,2026-05-17T16:57:38.228329
18,Drama,2026-05-17T16:57:38.228333
10751,Family,2026-05-17T16:57:38.228338
14,Fantasy,2026-05-17T16:57:38.228343
36,History,2026-05-17T16:57:38.228366
27,Horror,2026-05-17T16:57:38.228370
10402,Music,2026-05-17T16:57:38.228375
9648,Mystery,2026-05-17T16:57:38.228379
10749,Romance,2026-05-17T16:57:38.228383
878,Science Fiction,2026-05-17T16:57:38.228388
10770,TV Movie,2026-05-17T16:57:38.228392
53,Thriller,2026-05-17T16:57:38.228396
10752,War,2026-05-17T16:57:38.228401
37,Western,2026-05-17T16:57:38.228405
10759,Action & Adventure,2026-05-17T16:57:38.228430
10762,Kids,2026-05-17T16:57:38.228434
10763,News,2026-05-17T16:57:38.228438
10764,Reality,2026-05-17T16:57:38.228442
10765,Sci-Fi & Fantasy,2026-05-17T16:57:38.228446
10766,Soap,2026-05-17T16:57:38.228451
10767,Talk,2026-05-17T16:57:38.228456
10768,War & Politics,2026-05-17T16:57:38.228461
