tmdb_id,name,original_name,popularity,vote_average,vote_count,release_date,origin_country,genre_ids,overview,poster_path,fetched_at
150000,Blood & Water,Blood & Water,243.08,4.3,2853,2021-09-01,"[""South Africa""]",[18],"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",,2026-05-17T16:57:37.217325
150001,Ganglands,Ganglands,5.84,9.4,6370,2021-09-01,"[""US""]",[18],"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",,2026-05-17T16:57:37.217696
150002,Jailbirds New Orleans,Jailbirds New Orleans,123.18,7.9,1832,2021-09-01,"[""US""]",[10764],"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",,2026-05-17T16:57:37.217917
150003,Kota Factory,Kota Factory,42.95,7.3,3502,2021-09-01,"[""India""]",[18],"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",,2026-05-17T16:57:37.220588
150004,Midnight Mass,Midnight Mass,260.45,7.7,5208,2021-09-01,"[""US""]",[18],"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",,2026-05-17T16:57:37.220946
150005,The Great British Baking Show,The Great British Baking Show,20.53,7.3,8472,2021-09-01,"[""United Kingdom""]",[10764],"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",,2026-05-17T16:57:37.221207
150006,"Vendetta: Truth, Lies and The Mafia","Vendetta: Truth, Lies and The Mafia",561.13,6.9,4847,2021-09-01,"[""US""]",[18],"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",,2026-05-17T16:57:37.221426
150007,Bangkok Breaking,Bangkok Breaking,466.81,5.6,5176,2021-09-01,"[""US""]",[18],"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",,2026-05-17T16:57:37.223799
150008,Crime Stories: India Detectives,Crime Stories: India Detectives,64.49,5.8,10216,2021-09-01,"[""US""]",[18],Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,,2026-05-17T16:57:37.224094
150009,Dear White People,Dear White People,363.24,5.7,3336,2021-09-01,"[""United States""]",[18],"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",,2026-05-17T16:57:37.224292
150010,Falsa identidad,Falsa identidad,281.75,6.7,10246,2020-09-01,"[""Mexico""]",[18],Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,,2026-05-17T16:57:37.224451
150011,Jaguar,Jaguar,169.59,7.3,1511,2021-09-01,"[""US""]",[18],"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",,2026-05-17T16:57:37.224681
150012,Monsters Inside: The 24 Faces of Billy Milligan,Monsters Inside: The 24 Faces of Billy Milligan,23.02,6.6,5118,2021-09-01,"[""US""]",[18],"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",,2026-05-17T16:57:37.226182
150013,Resurrection: Ertugrul,Resurrection: Ertugrul,372.52,7.7,481,2018-09-01,"[""Turkey""]",[18],"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",,2026-05-17T16:57:37.226419
150014,Love on the Spectrum,Love on the Spectrum,713.03,6.0,2064,2021-09-01,"[""Australia""]",[10764],"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",,2026-05-17T16:57:37.227766
150015,Chicago Party Aunt,Chicago Party Aunt,327.12,8.3,9927,2021-09-01,"[""US""]",[18],Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,,2026-05-17T16:57:37.228099
150016,Sex Education,Sex Education,202.58,5.7,7666,2020-09-01,"[""United Kingdom""]",[18],"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",,2026-05-17T16:57:37.228295
150017,Squid Game,Squid Game,77.06,7.2,1023,2021-09-01,"[""US""]",[18],"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",,2026-05-17T16:57:37.228490
150018,Tayo and Little Wizards,Tayo and Little Wizards,205.54,4.6,11294,2020-09-01,"[""US""]",[18],Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,,2026-05-17T16:57:37.228728
150019,Angry Birds,Angry Birds,388.9,7.0,2189,2018-09-01,"[""Finland""]",[18],"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",,2026-05-17T16:57:37.228990
150020,Chhota Bheem,Chhota Bheem,128.38,7.6,1505,2021-09-01,"[""India""]",[18],"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",,2026-05-17T16:57:37.229185
150021,He-Man and the Masters of the Universe,He-Man and the Masters of the Universe,113.07,6.1,4395,2021-09-01,"[""United States""]",[18],Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,,2026-05-17T16:57:37.229366
150022,The Smart Money Woman,The Smart Money Woman,417.4,6.7,1372,2020-09-01,"[""US""]",[18],"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",,2026-05-17T16:57:37.229517
150023,Castle and Castle,Castle and Castle,91.53,4.1,900,2021-09-01,"[""Nigeria""]",[18],"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",,2026-05-17T16:57:37.232870
150024,Dharmakshetra,Dharmakshetra,279.14,5.9,1818,2014-09-01,"[""India""]",[18],"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",,2026-05-17T16:57:37.233101
150025,Nailed It,Nailed It,199.53,9.2,6801,2021-09-01,"[""United States""]",[10764],"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",,2026-05-17T16:57:37.233244
150026,Numberblocks,Numberblocks,156.52,3.8,2539,2021-09-01,"[""United Kingdom""]",[18],"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",,2026-05-17T16:57:37.233371
150027,Raja Rasoi Aur Anya Kahaniyan,Raja Rasoi Aur Anya Kahaniyan,10.78,5.2,1954,2014-09-01,"[""India""]",[18],"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",,2026-05-17T16:57:37.233496
