tmdb_id,name,original_name,popularity,vote_average,vote_count,first_air_date,origin_country,genre_ids,overview,poster_path,fetched_at
51025,Paradise Hotel,Paradise Hotel,483.1372,5.6,10,2005-09-14,"[""DK""]",[10764],"Danish version of the reality series ""Paradise Hotel"".",/ycSBcACecVR0zSnP2ZF83k5f7he.jpg,2026-08-11T14:30:26.161925
94997,House of the Dragon,House of the Dragon,498.462,8.385,6907,2022-08-21,"[""US""]","[10765, 18, 10759]","The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",/7V0Ebks0GgpKvQ7QbLAIdX5dos4.jpg,2026-08-11T14:30:26.161944
36109,Paradise Hotel,Paradise Hotel,336.0795,5.7,10,2009-03-09,"[""NO""]",[10764],"Norwegian girls and boys check in at the Paradise Hotel in Mexico, where Triana Iglesias is the hotel manager. The hotel has great views and a fantastic pool. Cameras with a full view of the idyllic site tells the story of what happens when the single boys and girls meet in the hot surroundings of the hotel. The task they have is basically simple: Find a partner or check out.",/k6KhQBpW4gdcoSp9JQvQFq14lFI.jpg,2026-08-11T14:30:26.161952
260609,Com si fos ahir,Com si fos ahir,147.8393,5.5,2,2017-09-11,"[""ES""]","[18, 10766]","A group of high school friends meet again after 25 years to attend the funeral of a mutual friend, and from that point on they try to recover their friendship.",/fCc6tIeV0yOCZq1DoWmFGQX2tOM.jpg,2026-08-11T14:30:26.161959
113962,Lioness,Lioness,342.4827,8.028,1323,2023-07-23,"[""US""]","[18, 10768]","Cruz Manuelos, a rough-around-the-edges but passionate young Marine, is recruited to join the CIA's Lioness Engagement Team to help bring down a terrorist organization from within. Joe, the station chief of the Lioness program, is tasked with training, managing and leading her female undercover operatives.",/rzpHPSEgPTpRs8EHbygwsOw7jC0.jpg,2026-08-11T14:30:26.161966
5920,The Mentalist,The Mentalist,316.5748,8.373,4530,2008-09-23,"[""US""]","[80, 18, 9648]","Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.",/acYXu4KaDj1NIkMgObnhe4C4a0T.jpg,2026-08-11T14:30:26.161973
233643,Secret Mission - Undercover Agents Never Back Down!,しーくれっとみっしょん～潜入捜査官は絶対に負けない！～,272.9633,6.2,26,2023-10-02,"[""JP""]",[16],"Narcotics Enforcement Agent Riko Ikazuchi is undercover with her junior colleague Noma in an apartment that serves as the hideout for a criminal organization. Despite Riko and Noma posing as a newlywed couple, the criminals begin to suspect them after not hearing any marital intimacy during the night. To convince them that they are a loving couple, Noma starts touching Riko's body...",/xZV8e1iKi85PFZlbQBdznvtpAVJ.jpg,2026-08-11T14:30:26.161980
67707,Paradise Hotel,Paradise Hotel,390.7688,5.0,4,2005-01-17,"[""SE""]",[10764],"A group of hot singles check into a luxury hotel in Mexico. Prepare for love, partying, betrayal and tears. Half a million kronor is at stake and anything can happen in paradise.",/aeU8fC5JaG2BkWqgMX7yPfX7dfW.jpg,2026-08-11T14:30:26.161991
2734,Law & Order: Special Victims Unit,Law & Order: Special Victims Unit,257.0061,7.958,4310,1999-09-20,"[""US""]","[80, 18, 9648]","In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",/iofokHZoUB4Qhik4PflvJl8TT6a.jpg,2026-08-11T14:30:26.161998
1416,Grey's Anatomy,Grey's Anatomy,245.1795,8.206,10999,2005-03-27,"[""US""]",[18],Follows the personal and professional lives of a group of doctors at Seattle's Grey Sloan Memorial Hospital.,/hjJkrLXhWvGHpLeLBDFznpBTY1S.jpg,2026-08-11T14:30:26.162005
