tmdb_id,title,vote_average,vote_count,popularity,release_date,genre_ids,overview,fetched_at
1007757,Swapped,8.992,1183,354.9764,2026-05-01,"[16, 10751, 12, 14]","A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",2026-05-19T22:48:50.777874
278,The Shawshank Redemption,8.72,30362,52.8222,1994-09-23,"[18, 80]","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",2026-05-19T22:48:50.777949
238,The Godfather,8.686,22912,46.3561,1972-03-14,"[18, 80]","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",2026-05-19T22:48:50.777964
687163,Project Hail Mary,8.599,3624,447.7858,2026-03-15,"[878, 12]","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",2026-05-19T22:48:50.777974
240,The Godfather Part II,8.571,13892,27.3735,1974-12-20,"[18, 80]","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",2026-05-19T22:48:50.777984
424,Schindler's List,8.569,17430,25.6825,1993-12-15,"[18, 36, 10752]",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,2026-05-19T22:48:50.777994
389,12 Angry Men,8.561,9967,24.414,1957-04-10,[18],"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",2026-05-19T22:48:50.778003
1439930,The Punisher: One Last Kill,8.543,919,671.0993,2026-05-12,"[28, 18, 80]","As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",2026-05-19T22:48:50.778012
1330021,Remarkably Bright Creatures,8.543,316,118.3567,2026-05-07,"[18, 9648]","Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.",2026-05-19T22:48:50.778021
129,Spirited Away,8.534,18290,35.441,2001-07-20,"[16, 10751, 14]","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",2026-05-19T22:48:50.778045
155,The Dark Knight,8.53,35734,39.6678,2008-07-16,"[28, 80, 53]","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2026-05-19T22:48:50.778055
19404,Dilwale Dulhania Le Jayenge,8.513,4588,14.7718,1995-10-20,"[35, 18, 10749]","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",2026-05-19T22:48:50.778096
497,The Green Mile,8.505,19228,28.9615,1999-12-10,"[14, 18, 80]","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",2026-05-19T22:48:50.778105
