tmdb_id,title,vote_average,vote_count,popularity,release_date,genre_ids,overview,fetched_at
300000,Dick Johnson Is Dead,7.5,7454,15.588,2020-03-01,[18],"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",2026-05-17T16:57:38.287828
300001,My Little Pony: A New Generation,8.1,14038,72.822,2021-03-01,[18],"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2026-05-17T16:57:38.288190
300002,Sankofa,7.9,11124,145.06799999999998,1993-03-01,[18],"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",2026-05-17T16:57:38.288371
300003,The Starling,8.7,11003,31.83,2021-03-01,[18],A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2026-05-17T16:57:38.288511
300004,Je Suis Karl,7.0,3053,0.738,2021-03-01,[18],"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2026-05-17T16:57:38.291045
300005,Confessions of an Invisible Girl,7.3,7674,71.91,2021-03-01,[18],"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2026-05-17T16:57:38.291332
300006,Europe's Most Dangerous Man: Otto Skorzeny in Spain,8.3,710,24.486,2020-03-01,[18],"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",2026-05-17T16:57:38.291473
300007,Intrusion,8.3,8713,17.573999999999998,2021-03-01,[18],"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",2026-05-17T16:57:38.291661
300008,Avvai Shanmughi,7.6,4021,0.09,1996-03-01,[18],"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",2026-05-17T16:57:38.294695
300009,Go! Go! Cory Carson: Chrissy Takes the Wheel,7.8,14453,165.114,2021-03-01,[18],"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2026-05-17T16:57:38.295005
300010,Jeans,8.2,2227,23.802,1998-03-01,[18],"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",2026-05-17T16:57:38.295185
300011,Minsara Kanavu,7.1,13500,135.534,1997-03-01,[18],A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,2026-05-17T16:57:38.295376
300012,Grown Ups,7.4,11666,16.445999999999998,2010-03-01,[18],"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",2026-05-17T16:57:38.295517
