tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at
1304313,Lee Cronin's The Mummy,Lee Cronin's The Mummy,157.9774,7.442,361,2026-04-15,"[27, 9648]","The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",/1q308iixueCU4pFtSYugNOevtNx.jpg,movie,2026-05-19T22:48:41.437973
1242332,Normal,Normal,12.3489,6.782,39,2026-04-16,"[28, 80, 53]","Interim sheriff Ulysses, called to the snowbound town of Normal, MN, uncovers an international criminal conspiracy at the heart of the seemingly quaint whistle-stop when he comes to the aid of a bank-robbing couple caught up in a deadly mess.",/j5cW7TM0onwp3fQiowXX5ZJLUHR.jpg,movie,2026-05-19T22:48:41.438073
1226863,The Super Mario Galaxy Movie,The Super Mario Galaxy Movie,309.4795,6.993,992,2026-04-01,"[10751, 35, 12, 14, 16]","Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,movie,2026-05-19T22:48:41.438092
1339713,Obsession,Obsession,152.8951,8.128,121,2026-04-16,[27],"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",/40I66L7QKguTFDPvcLcdiTbAD7I.jpg,movie,2026-05-19T22:48:41.438103
931285,Mortal Kombat II,Mortal Kombat II,146.0172,6.94,218,2026-05-06,"[28, 14, 12]","The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",/lIsMeDbwntNXSUVHmWMMRXEZOVc.jpg,movie,2026-05-19T22:48:41.438114
1102883,Mother Mary,Mother Mary,7.7804,5.6,35,2026-04-16,"[18, 14, 10402, 53]",Long-buried wounds rise to the surface when iconic pop star Mother Mary reunites with her estranged best friend and former costume designer Sam Anselm on the eve of her comeback performance.,/qMgUI6pxkPtIuoXX4DcJ6X7bdt2.jpg,movie,2026-05-19T22:48:41.438126
1439930,The Punisher: One Last Kill,The Punisher: One Last Kill,671.0993,8.536,933,2026-05-12,"[28, 18, 80]","As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,movie,2026-05-19T22:48:41.438137
687163,Project Hail Mary,Project Hail Mary,447.7858,8.598,3633,2026-03-15,"[878, 12]","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",/yihdXomYb5kTeSivtFndMy5iDmf.jpg,movie,2026-05-19T22:48:41.438147
1228710,Star Wars: The Mandalorian and Grogu,Star Wars: The Mandalorian and Grogu,45.4551,8.0,5,2026-05-20,"[12, 878, 28]","The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",/vrwVS8vQcmNieHFbNmAfnSoPdUL.jpg,movie,2026-05-19T22:48:41.438158
83533,Avatar: Fire and Ash,Avatar: Fire and Ash,154.9556,7.487,3092,2025-12-17,"[878, 12, 14]","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",/aabwWZWx6z1aYP4PX2ADvbDKktd.jpg,movie,2026-05-19T22:48:41.438167
1314481,The Devil Wears Prada 2,The Devil Wears Prada 2,76.2403,6.7,597,2026-04-29,"[35, 18]","Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.",/xTI42pmsP5EDnvsNJPEDubwWBQO.jpg,movie,2026-05-19T22:48:41.438177
1273221,Scary Movie,Scary Movie,17.2285,0.0,0,2026-06-03,"[35, 27]","Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.",/2OHkZEqQL4OjYXIqWopJu0BijTD.jpg,movie,2026-05-19T22:48:41.438186
1083381,Backrooms,Backrooms,21.4532,0.0,0,2026-05-27,"[27, 9648, 878]",A strange doorway appears in the basement of a furniture showroom.,/vpkNMkbisv5cTaIfCzUduYzXnjb.jpg,movie,2026-05-19T22:48:41.438195
936075,Michael,Michael,116.9987,7.578,778,2026-04-22,"[10402, 18]","The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",/tBtqTCimYm3DKck3t8A2mgJaKVK.jpg,movie,2026-05-19T22:48:41.438223
1368314,Passenger,Passenger,17.7669,7.0,3,2026-05-20,"[27, 53]","After a young couple witnesses a gruesome highway accident, they soon realize they did not leave the crash scene alone, as a demonic presence called the Passenger that won't stop until it claims them both turns their van life adventure into a nightmare.",/2sOEJzhPzjTkZSlPbGxOJ7xgIyS.jpg,movie,2026-05-19T22:48:41.438232
454639,Masters of the Universe,Masters of the Universe,24.1689,0.0,0,2026-06-03,"[28, 14, 878]","After being separated for 15 years, the Sword of Power leads Prince Adam back to Eternia, where he discovers his home shattered under the fiendish rule of Skeletor. To save his family and his world, Adam must join forces with his closest allies, Teela and Duncan/Man-At-Arms, and embrace his true destiny as He-Man — the most powerful man in the universe.",/1iaoDCWAM5C1kvlmIiCrLUE16uM.jpg,movie,2026-05-19T22:48:41.438242
1007757,Swapped,Swapped,354.9764,8.987,1190,2026-05-01,"[16, 10751, 12, 14]","A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,movie,2026-05-19T22:48:41.438253
1084244,Toy Story 5,Toy Story 5,17.555,0.0,0,2026-06-17,"[16, 10751, 35, 12]","When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",/dWIAOC9EKFehGs3CYvDQih3hxaG.jpg,movie,2026-05-19T22:48:41.438264
1140521,The Magic Faraway Tree,The Magic Faraway Tree,29.9019,6.352,27,2026-03-26,"[10751, 14, 12]","A modern family relocates to the countryside where the children discover a magical tree with eccentric residents. They're transported to fantastical lands, rekindling their family bond through adventures.",/udXvLxC5gAqN8SinemyFBEcHpTf.jpg,movie,2026-05-19T22:48:41.438274
1430077,Hokum,Hokum,16.3147,7.0,43,2026-04-29,[27],"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",/jKPWwsbAM6HKURPYQ1eG8DmKMKn.jpg,movie,2026-05-19T22:48:41.438282
1327819,Hoppers,Hoppers,136.9073,8.078,1129,2026-03-04,"[12, 16, 35, 10751, 878]","Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,movie,2026-05-19T22:48:42.269817
1325734,The Drama,The Drama,38.3143,6.926,779,2026-03-26,"[10749, 35, 18]",A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,/yPV87cvDabRMTZs6NIbZLOufBLR.jpg,movie,2026-05-19T22:48:42.269838
1628367,Kartavya,कर्त्तव्य,42.7705,6.8,6,2026-05-15,"[80, 18, 53]","With his family's safety at stake and menacing threats closing in, a police officer must decide how far he'll go to uphold his duty.",/doTwMyAphlDL5Z8WqE3elWWvj8M.jpg,movie,2026-05-19T22:48:42.269845
1684244,Untold UK: Liverpool's Miracle of Istanbul,Untold UK: Liverpool's Miracle of Istanbul,0.5124,0.0,0,2026-05-19,"[99, 36]",At half-time in the 2005 champion league final Liverpool were 3-0 down. What happened next made football history -​ as players recall in this documentary.,/oS1ad6L9ybHYEJLljmTkxn4ORDC.jpg,movie,2026-05-19T22:48:42.269851
1318447,Apex,Apex,227.5895,6.657,1097,2026-04-24,"[28, 53]",A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,/eTp7gSPkSF3Aw79mNx1NkBP1PZT.jpg,movie,2026-05-19T22:48:42.269857
1330021,Remarkably Bright Creatures,Remarkably Bright Creatures,118.3567,8.512,327,2026-05-07,"[18, 9648]","Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.",/9HcEqn3D4J6b2Z0jK54id9nA0fr.jpg,movie,2026-05-19T22:48:42.269863
