tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at
100000,Dick Johnson Is Dead,Dick Johnson Is Dead,55.89,7.0,4903,2020-06-15,[18],"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",,movie,2026-05-17T16:57:35.573957
100001,My Little Pony: A New Generation,My Little Pony: A New Generation,305.17,6.1,8527,2021-06-15,[18],"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",,movie,2026-05-17T16:57:35.575637
100002,Sankofa,Sankofa,347.17,5.2,5473,1993-06-15,[18],"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",,movie,2026-05-17T16:57:35.576299
100003,The Starling,The Starling,129.61,7.7,912,2021-06-15,[18],A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,,movie,2026-05-17T16:57:35.577007
100004,Je Suis Karl,Je Suis Karl,141.28,5.4,2783,2021-06-15,[18],"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",,movie,2026-05-17T16:57:35.577349
100005,Confessions of an Invisible Girl,Confessions of an Invisible Girl,114.1,5.0,3945,2021-06-15,[18],"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",,movie,2026-05-17T16:57:35.578823
100006,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Europe's Most Dangerous Man: Otto Skorzeny in Spain,293.92,5.5,5366,2020-06-15,[18],"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",,movie,2026-05-17T16:57:35.579195
100007,Intrusion,Intrusion,20.41,6.1,3473,2021-06-15,[18],"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",,movie,2026-05-17T16:57:35.579369
100008,Avvai Shanmughi,Avvai Shanmughi,312.16,7.6,3709,1996-06-15,[18],"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",,movie,2026-05-17T16:57:35.579511
100009,Go! Go! Cory Carson: Chrissy Takes the Wheel,Go! Go! Cory Carson: Chrissy Takes the Wheel,73.09,7.5,5208,2021-06-15,[18],"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",,movie,2026-05-17T16:57:35.581336
100010,Jeans,Jeans,1.29,8.4,1365,1998-06-15,[18],"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",,movie,2026-05-17T16:57:35.581630
100011,Minsara Kanavu,Minsara Kanavu,57.3,4.7,5093,1997-06-15,[18],A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,,movie,2026-05-17T16:57:35.581836
