tmdb_id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,fetched_at
1339713,Obsession,2026-04-16,172.6145,8.03,152,[27],"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",2026-05-21T22:17:55.200680
931285,Mortal Kombat II,2026-05-06,146.8743,6.911,235,"[28, 14, 12]","The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",2026-05-21T22:17:55.200783
936075,Michael,2026-04-22,105.7155,7.6,793,"[10402, 18]","The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",2026-05-21T22:17:55.200806
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,92.5594,7.708,833,"[16, 28, 14]","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",2026-05-21T22:17:55.200819
1242332,Normal,2026-04-16,73.1813,6.6,54,"[28, 80, 53]","An unassuming substitute sheriff with a troubled past responds to a bank robbery in a small, sleepy town and unknowingly uncovers something far more explosive.",2026-05-21T22:17:55.200832
1228710,Star Wars: The Mandalorian and Grogu,2026-05-20,73.0823,6.4,39,"[28, 12, 878]","The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",2026-05-21T22:17:55.200847
1368166,The Housemaid,2025-12-18,64.3557,7.251,2151,"[9648, 53]","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",2026-05-21T22:17:55.200858
1122573,In the Grey,2026-05-13,46.5069,6.3,48,"[28, 53]","A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.",2026-05-21T22:17:55.200870
1110034,Kraken,2026-02-06,42.4672,5.9,45,"[27, 28, 53]","A marine biologist is doing research on a fish farm when she encounters several strange occurrences. Along with the brutal deaths of two teenagers, all signs point to the deep fjord; can there be more to the depths than the eye can see?",2026-05-21T22:17:55.200882
1325734,The Drama,2026-03-26,32.1959,6.931,787,"[10749, 35, 18]",A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,2026-05-21T22:17:55.200894
1280738,The Furious,2026-06-05,29.0053,0.0,0,"[28, 80, 53]","After Wang Wei's daughter is kidnapped by a criminal network and he receives no help from the corrupt police, Wei sets out to find her himself. His only ally is Navin, a relentless journalist whose wife has mysteriously disappeared. Fueled by a furious vengeance, the unlikely duo ruthlessly battle the kidnappers in this explosive martial arts showdown.",2026-05-21T22:17:55.200905
372058,Your Name.,2016-08-26,27.9611,8.5,12540,"[16, 10749, 18]","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",2026-05-21T22:17:55.200916
454639,Masters of the Universe,2026-06-03,26.6315,0.0,0,"[28, 14, 878]","After being separated for 15 years, the Sword of Power leads Prince Adam back to Eternia, where he discovers his home shattered under the fiendish rule of Skeletor. To save his family and his world, Adam must join forces with his closest allies, Teela and Duncan/Man-At-Arms, and embrace his true destiny as He-Man — the most powerful man in the universe.",2026-05-21T22:17:55.200928
1368314,Passenger,2026-05-20,26.2692,5.8,5,"[27, 53]","After a young couple witnesses a gruesome highway accident, they soon realize they did not leave the crash scene alone, as a demonic presence called the Passenger that won't stop until it claims them both turns their van life adventure into a nightmare.",2026-05-21T22:17:55.200938
1140521,The Magic Faraway Tree,2026-03-26,24.1096,6.5,29,"[10751, 14, 12]","A modern family relocates to the countryside where the children discover a magical tree with eccentric residents. They're transported to fantastical lands, rekindling their family bond through adventures.",2026-05-21T22:17:55.200949
1367642,Reminders of Him,2026-03-11,23.5425,7.422,218,"[10749, 18]","When Diem's custodial grandparents adamantly refuse Kenna's attempts to see her daughter, Kenna discovers unexpected compassion, and then something truer and deeper, with former NFL player and local bar owner Ledger. As their secret romance develops, so do the dangers for both of them, leading Kenna toward heartbreak and, ultimately, the hope for a second chance.",2026-05-21T22:17:55.200962
1400357,The Christophers,2026-04-10,22.5047,6.891,23,"[80, 35]","The estranged children of a once-famous artist hire a forger to complete his unfinished works so they can be ""discovered"" and sold after his death.",2026-05-21T22:17:55.200970
