tmdb_id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,fetched_at
300000,My Little Pony: A New Generation,2021-12-01,55.89,7.0,4903,[18],"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2026-05-17T17:01:53.121371
300001,The Starling,2021-12-01,305.17,6.1,8527,[18],A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2026-05-17T17:01:53.124224
300002,Je Suis Karl,2021-12-01,347.17,5.2,5473,[18],"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2026-05-17T17:01:53.124807
300003,Confessions of an Invisible Girl,2021-12-01,129.61,7.7,912,[18],"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2026-05-17T17:01:53.127311
300004,Intrusion,2021-12-01,141.28,5.4,2783,[18],"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",2026-05-17T17:01:53.128080
300005,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021-12-01,114.1,5.0,3945,[18],"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2026-05-17T17:01:53.131441
300006,Ankahi Kahaniya,2021-12-01,293.92,5.5,5366,[18],"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",2026-05-17T17:01:53.131863
300007,The Father Who Moves Mountains,2021-12-01,20.41,6.1,3473,[18],"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",2026-05-17T17:01:53.132209
300008,The Stronghold,2021-12-01,312.16,7.6,3709,[18],"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",2026-05-17T17:01:53.132457
300009,My Heroes Were Cowboys,2021-12-01,73.09,7.5,5208,[18],"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2026-05-17T17:01:53.132698
300010,Nightbooks,2021-12-01,1.29,8.4,1365,[18],Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,2026-05-17T17:01:53.143935
300011,Schumacher,2021-12-01,57.3,4.7,5093,[18],"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2026-05-17T17:01:53.144362
300012,A StoryBots Space Adventure,2021-12-01,119.29,6.9,5993,[18],Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,2026-05-17T17:01:53.144575
300013,You vs. Wild: Out Cold,2021-12-01,135.24,7.7,1317,[18],"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",2026-05-17T17:01:53.144727
300014,Little Singham - Black Shadow,2021-12-01,97.28,8.2,6698,[18],Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,2026-05-17T17:01:53.144859
300015,Tughlaq Durbar (Telugu),2021-12-01,93.9,5.8,4936,[18],A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,2026-05-17T17:01:53.145066
300016,Firedrake the Silver Dragon,2021-12-01,167.75,3.9,4598,[18],"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",2026-05-17T17:01:53.145247
300017,Kate,2021-12-01,134.22,7.5,2450,[18],"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",2026-05-17T17:01:53.145477
